,true_values,predict_values,meta_true,meta_predicted
0,0.994,0.876333333333333,1,0
0,0.842,0.985285714285714,1,0
0,0.828,0.823714285714286,0,0
0,0.94,0.92725,0,0
0,0.933,0.8788,0,1
0,0.958,0.79425,1,1
0,0.949,0.946,0,0
0,0.821,0.848,0,0
0,0.967,0.92025,0,0
0,0.922,0.983,1,0
0,0.832,0.903142857142857,1,0
0,0.774,0.831375,0,1
0,0.814,0.825714285714286,0,1
0,0.983,0.985666666666667,0,0
0,0.89,0.985285714285714,1,0
0,0.955,0.943,0,1
0,0.821,0.879,0,1
0,0.988,0.9296,1,0
0,0.852,0.8472,0,0
0,0.874,0.8428,0,1
0,0.887,0.815285714285714,1,0
0,0.894,0.934,0,0
0,0.973,0.987333333333334,0,0
0,0.909,0.85575,0,0
0,0.974,0.8736,1,0
0,0.989,0.817375,1,1
0,0.937,0.847,1,1
0,0.853,0.820142857142857,0,1
0,0.867,0.941,1,0
0,0.917,0.85475,0,0
0,0.921,0.909,0,0
0,0.795,0.828428571428571,0,1
0,0.883,0.938833333333334,1,1
0,0.855,0.899857142857143,0,0
0,0.786,0.9116,1,1
0,0.822,0.824571428571429,0,1
0,0.996,0.9835,0,1
0,0.959,0.893,1,0
0,0.913,0.835,1,0
0,0.917,0.9355,0,1
