,true_values,predict_values,meta_true,meta_predicted
0,0.9329999999999999,0.8788,0,1
0,0.8320000000000001,0.9031428571428571,1,0
0,0.8420000000000001,0.9852857142857143,1,0
0,0.828,0.8237142857142857,0,0
0,0.937,0.847,1,1
0,0.9670000000000001,0.92025,0,0
0,0.795,0.8284285714285714,0,1
0,0.7859999999999999,0.9116,1,1
0,0.883,0.9388333333333335,0,1
0,0.8140000000000001,0.8257142857142857,0,1
0,0.9890000000000001,0.817375,1,1
0,0.909,0.8557500000000001,0,0
0,0.973,0.9873333333333334,0,0
0,0.821,0.848,0,0
0,0.821,0.879,0,1
0,0.9490000000000001,0.946,0,0
0,0.983,0.9296,1,0
0,0.9590000000000001,0.8930000000000001,1,0
0,0.9129999999999999,0.835,1,0
0,0.867,0.941,1,0
0,0.922,0.9829999999999999,1,0
0,0.8740000000000001,0.8427999999999999,0,1
0,0.774,0.831375,0,1
0,0.855,0.8998571428571429,0,0
0,0.917,0.85475,0,1
0,0.9209999999999999,0.909,0,0
0,0.894,0.8773333333333334,0,0
0,0.887,0.8152857142857143,1,0
0,0.8220000000000001,0.8245714285714285,0,1
0,0.89,0.9296,0,0
0,0.996,0.9834999999999999,0,1
0,0.955,0.9430000000000001,0,1
0,0.9940000000000001,0.8763333333333333,1,0
0,0.94,0.92725,0,0
0,0.853,0.8201428571428571,0,1
0,0.9740000000000001,0.8736,1,0
0,0.988,0.9848333333333333,0,0
0,0.958,0.79425,1,1
0,0.852,0.8472,0,0
0,0.917,0.9355,0,1
