,ACCURACY_example_based,AUCROC_MICRO,AUPRC_MICRO,COVARAGE,F1_example_based,HAMMING_LOSS_example_based,LABEL_RANKING_AVERAGE_PRECISION,LABEL_RANKING_LOSS,MACRO_F1,MACRO_PRECISION,MACRO_RECALL,MICRO_F1,MICRO_PRECISION,MICRO_RECALL,ONE_ERROR,PRECISION_example_based,RECALL_example_based,SUBSET_ACCURACY
0,"{'mean_abs': 0.14352499999999999, 'std_abs': 0.10556774779732679}","{'mean_abs': 0.061475000000000016, 'std_abs': 0.04580446894135988}","{'mean_abs': 0.1442, 'std_abs': 0.08498652834420287}","{'mean_abs': 28.750475000000005, 'std_abs': 98.90682882566489}","{'mean_abs': 0.131, 'std_abs': 0.10354998792853624}","{'mean_abs': 0.055525000000000005, 'std_abs': 0.05277167208834679}","{'mean_abs': 0.09212499999999998, 'std_abs': 0.08687093515670245}","{'mean_abs': 0.0536, 'std_abs': 0.045178977412066335}","{'mean_abs': 0.17872500000000002, 'std_abs': 0.15826686126602751}","{'mean_abs': 0.1641, 'std_abs': 0.12062085226029536}","{'mean_abs': 0.155725, 'std_abs': 0.15032813899932373}","{'mean_abs': 0.128075, 'std_abs': 0.12496547273147092}","{'mean_abs': 0.14354999999999998, 'std_abs': 0.12461138591637602}","{'mean_abs': 0.121475, 'std_abs': 0.10101063990986295}","{'mean_abs': 0.148975, 'std_abs': 0.09027194677750115}","{'mean_abs': 0.14137500000000003, 'std_abs': 0.11440425855273045}","{'mean_abs': 0.1356, 'std_abs': 0.10628424154125578}","{'mean_abs': 0.18165, 'std_abs': 0.14840359665452854}"
1,"{'mean_abs': 0.15222916666666667, 'std_abs': 0.1103608896070574}","{'mean_abs': 0.060508333333333345, 'std_abs': 0.04427938368410795}","{'mean_abs': 0.149775, 'std_abs': 0.10952772067938885}","{'mean_abs': 32.101625000000006, 'std_abs': 117.03358674181452}","{'mean_abs': 0.13356666666666667, 'std_abs': 0.1097435887775581}","{'mean_abs': 0.05101666666666667, 'std_abs': 0.04856638926939768}","{'mean_abs': 0.0968875, 'std_abs': 0.0981606279091968}","{'mean_abs': 0.05600833333333334, 'std_abs': 0.04379326352940091}","{'mean_abs': 0.20469166666666666, 'std_abs': 0.15718872923089053}","{'mean_abs': 0.15702083333333333, 'std_abs': 0.1235894929207846}","{'mean_abs': 0.15125833333333333, 'std_abs': 0.13954695520982652}","{'mean_abs': 0.12623333333333334, 'std_abs': 0.131358028558085}","{'mean_abs': 0.13192916666666665, 'std_abs': 0.1122475741355044}","{'mean_abs': 0.12656666666666666, 'std_abs': 0.09397843872104092}","{'mean_abs': 0.14261249999999998, 'std_abs': 0.09113503707487527}","{'mean_abs': 0.12764583333333332, 'std_abs': 0.11465016952245548}","{'mean_abs': 0.11789166666666664, 'std_abs': 0.09899977237628153}","{'mean_abs': 0.18707916666666666, 'std_abs': 0.15105071346469848}"
2,"{'mean_abs': 0.14604333333333333, 'std_abs': 0.10810972536938777}","{'mean_abs': 0.05570166666666669, 'std_abs': 0.040418184129588676}","{'mean_abs': 0.1387020833333333, 'std_abs': 0.09836032173337507}","{'mean_abs': 31.627060416666673, 'std_abs': 113.62896127799559}","{'mean_abs': 0.13022583333333335, 'std_abs': 0.10597556662517911}","{'mean_abs': 0.051361250000000004, 'std_abs': 0.04786932652595617}","{'mean_abs': 0.08909249999999999, 'std_abs': 0.09434332529163543}","{'mean_abs': 0.053237083333333324, 'std_abs': 0.03984824328476658}","{'mean_abs': 0.1764666666666667, 'std_abs': 0.1541245021168853}","{'mean_abs': 0.14865291666666666, 'std_abs': 0.1268420435515227}","{'mean_abs': 0.1460108333333333, 'std_abs': 0.1308349627579001}","{'mean_abs': 0.12827625, 'std_abs': 0.12875034729659204}","{'mean_abs': 0.1405354166666667, 'std_abs': 0.1207868840140617}","{'mean_abs': 0.12082499999999999, 'std_abs': 0.09538971322364317}","{'mean_abs': 0.13928124999999997, 'std_abs': 0.0840148641930816}","{'mean_abs': 0.12812208333333336, 'std_abs': 0.11430857660708361}","{'mean_abs': 0.13119041666666667, 'std_abs': 0.11186312015680268}","{'mean_abs': 0.18571166666666666, 'std_abs': 0.14578799529529932}"
3,"{'mean_abs': 0.14419809523809518, 'std_abs': 0.10579225230082819}","{'mean_abs': 0.055931428571428576, 'std_abs': 0.04361818361589711}","{'mean_abs': 0.13000083333333332, 'std_abs': 0.09554712835323964}","{'mean_abs': 31.6107236904762, 'std_abs': 113.63328048190102}","{'mean_abs': 0.12683011904761904, 'std_abs': 0.10645768367621311}","{'mean_abs': 0.05121547619047619, 'std_abs': 0.04759443011891907}","{'mean_abs': 0.09165714285714285, 'std_abs': 0.10216928139167225}","{'mean_abs': 0.04890333333333333, 'std_abs': 0.04107872275739212}","{'mean_abs': 0.18104666666666666, 'std_abs': 0.1554206809240657}","{'mean_abs': 0.1596285714285714, 'std_abs': 0.11890314306900951}","{'mean_abs': 0.14476363095238093, 'std_abs': 0.12153684244935284}","{'mean_abs': 0.13772291666666667, 'std_abs': 0.12889545089651608}","{'mean_abs': 0.1351102976190476, 'std_abs': 0.11736712932274226}","{'mean_abs': 0.1259817261904762, 'std_abs': 0.09618470133152439}","{'mean_abs': 0.12936059523809523, 'std_abs': 0.09007756038810863}","{'mean_abs': 0.12454410714285717, 'std_abs': 0.10169295479662575}","{'mean_abs': 0.11789154761904763, 'std_abs': 0.10229982847850654}","{'mean_abs': 0.18568761904761905, 'std_abs': 0.14371683385233508}"
4,"{'mean_abs': 0.1443256845238095, 'std_abs': 0.10073598683667008}","{'mean_abs': 0.05350220238095238, 'std_abs': 0.04069250707419512}","{'mean_abs': 0.13178361111111112, 'std_abs': 0.1043593849518225}","{'mean_abs': 31.626706319444445, 'std_abs': 113.62689329124986}","{'mean_abs': 0.12145448412698409, 'std_abs': 0.0948363438914771}","{'mean_abs': 0.053604315476190476, 'std_abs': 0.04949516896740168}","{'mean_abs': 0.08521646825396825, 'std_abs': 0.09627280327784551}","{'mean_abs': 0.0480672123015873, 'std_abs': 0.0374512191308532}","{'mean_abs': 0.17896098214285713, 'std_abs': 0.14175232232369234}","{'mean_abs': 0.14798048611111111, 'std_abs': 0.10738577431156156}","{'mean_abs': 0.1480779365079365, 'std_abs': 0.1291502648705668}","{'mean_abs': 0.1465634027777778, 'std_abs': 0.11650477464776825}","{'mean_abs': 0.1558499503968254, 'std_abs': 0.10462625985623931}","{'mean_abs': 0.11990684523809522, 'std_abs': 0.09131147424858345}","{'mean_abs': 0.12574950396825396, 'std_abs': 0.09495796198481832}","{'mean_abs': 0.1297035515873016, 'std_abs': 0.09028622304026808}","{'mean_abs': 0.1261866865079365, 'std_abs': 0.10244617296995415}","{'mean_abs': 0.20531074404761904, 'std_abs': 0.15231972652345002}"
5,"{'mean_abs': 0.1397972537878788, 'std_abs': 0.09660072437045242}","{'mean_abs': 0.0516721645021645, 'std_abs': 0.041823229223174656}","{'mean_abs': 0.14253019119769123, 'std_abs': 0.10911762190190247}","{'mean_abs': 31.687892291666675, 'std_abs': 113.6104476683345}","{'mean_abs': 0.11239217352092354, 'std_abs': 0.09588818287232576}","{'mean_abs': 0.05547308802308802, 'std_abs': 0.05162462967281079}","{'mean_abs': 0.08492881222943723, 'std_abs': 0.09726438143820923}","{'mean_abs': 0.05055002164502165, 'std_abs': 0.036178613302033535}","{'mean_abs': 0.1810987391774892, 'std_abs': 0.14795944654717308}","{'mean_abs': 0.1598404482323232, 'std_abs': 0.12907521860425453}","{'mean_abs': 0.1495723674242424, 'std_abs': 0.1256090716947482}","{'mean_abs': 0.14228884469696973, 'std_abs': 0.11983702981213062}","{'mean_abs': 0.14789564574314573, 'std_abs': 0.10638588159300853}","{'mean_abs': 0.10934407377344875, 'std_abs': 0.09248084636363037}","{'mean_abs': 0.12733813492063492, 'std_abs': 0.09258801166126265}","{'mean_abs': 0.12144887626262628, 'std_abs': 0.0939539729801028}","{'mean_abs': 0.11897400252525255, 'std_abs': 0.09413934662979544}","{'mean_abs': 0.22871064574314573, 'std_abs': 0.1478583884057606}"
6,"{'mean_abs': 0.13962213723776223, 'std_abs': 0.11245134460290801}","{'mean_abs': 0.05786301386113888, 'std_abs': 0.03798730619428383}","{'mean_abs': 0.14148227453102455, 'std_abs': 0.10842120266741744}","{'mean_abs': 31.687892291666667, 'std_abs': 113.6104476683345}","{'mean_abs': 0.12770385281385283, 'std_abs': 0.08934422163440789}","{'mean_abs': 0.05392693417693417, 'std_abs': 0.04959801899540206}","{'mean_abs': 0.08847833728771229, 'std_abs': 0.09847858502066872}","{'mean_abs': 0.05206259032634033, 'std_abs': 0.035468932103067105}","{'mean_abs': 0.18307451375013875, 'std_abs': 0.15131993736569363}","{'mean_abs': 0.15229806186868686, 'std_abs': 0.12982195732086882}","{'mean_abs': 0.15593999562937064, 'std_abs': 0.13809871374100394}","{'mean_abs': 0.14096718385780888, 'std_abs': 0.11564751257787668}","{'mean_abs': 0.14835243145743143, 'std_abs': 0.11150303165811654}","{'mean_abs': 0.10815589306526804, 'std_abs': 0.1142296538270381}","{'mean_abs': 0.13151759539072042, 'std_abs': 0.09736176007269864}","{'mean_abs': 0.136333918997669, 'std_abs': 0.10061496360865066}","{'mean_abs': 0.1229764597902098, 'std_abs': 0.09724760607850273}","{'mean_abs': 0.23555875471750473, 'std_abs': 0.15458108105467822}"
7,"{'mean_abs': 0.14022354749417248, 'std_abs': 0.11327293815878028}","{'mean_abs': 0.05862280552780554, 'std_abs': 0.03563959773474574}","{'mean_abs': 0.13936227453102454, 'std_abs': 0.10529495539607178}","{'mean_abs': 31.70021729166667, 'std_abs': 113.60720034222636}","{'mean_abs': 0.11870230769230768, 'std_abs': 0.08221930313292063}","{'mean_abs': 0.04907405032467532, 'std_abs': 0.0477162181487049}","{'mean_abs': 0.08885231164668664, 'std_abs': 0.09882023190417248}","{'mean_abs': 0.053623304612054626, 'std_abs': 0.03569643004120728}","{'mean_abs': 0.17069308621933624, 'std_abs': 0.1608541272722184}","{'mean_abs': 0.1512378762210012, 'std_abs': 0.1254258467962491}","{'mean_abs': 0.15811430298867798, 'std_abs': 0.14268425655993466}","{'mean_abs': 0.14153801719114223, 'std_abs': 0.11635937997269127}","{'mean_abs': 0.14835243145743143, 'std_abs': 0.11150303165811652}","{'mean_abs': 0.11091922639860137, 'std_abs': 0.11724558560746573}","{'mean_abs': 0.14238366681929185, 'std_abs': 0.09719271869455792}","{'mean_abs': 0.12662659798534798, 'std_abs': 0.09769845947123017}","{'mean_abs': 0.12234253121878122, 'std_abs': 0.09613197109036281}","{'mean_abs': 0.2306362944000444, 'std_abs': 0.16185588674387982}"
8,"{'mean_abs': 0.14022354749417248, 'std_abs': 0.11327293815878031}","{'mean_abs': 0.05925908050895186, 'std_abs': 0.03647329492979192}","{'mean_abs': 0.13936227453102454, 'std_abs': 0.1052949553960718}","{'mean_abs': 31.700217291666668, 'std_abs': 113.60720034222636}","{'mean_abs': 0.11870230769230768, 'std_abs': 0.08221930313292063}","{'mean_abs': 0.04907405032467532, 'std_abs': 0.0477162181487049}","{'mean_abs': 0.08885231164668664, 'std_abs': 0.09882023190417248}","{'mean_abs': 0.053623304612054626, 'std_abs': 0.03569643004120728}","{'mean_abs': 0.17651955680757153, 'std_abs': 0.16422098071293206}","{'mean_abs': 0.15495266088486676, 'std_abs': 0.12342072982471589}","{'mean_abs': 0.18138647210632505, 'std_abs': 0.13869393877431047}","{'mean_abs': 0.14153801719114223, 'std_abs': 0.11635937997269127}","{'mean_abs': 0.14835243145743143, 'std_abs': 0.11150303165811654}","{'mean_abs': 0.11091922639860141, 'std_abs': 0.11724558560746573}","{'mean_abs': 0.14207012515262515, 'std_abs': 0.09805285359094093}","{'mean_abs': 0.12662659798534798, 'std_abs': 0.09769845947123017}","{'mean_abs': 0.1190784484265734, 'std_abs': 0.09587572289942829}","{'mean_abs': 0.23426644939619204, 'std_abs': 0.16255178958784952}"
9,"{'mean_abs': 0.1310810795454546, 'std_abs': 0.10754846201989912}","{'mean_abs': 0.052845345128834875, 'std_abs': 0.03842985141887297}","{'mean_abs': 0.14826576920520998, 'std_abs': 0.12209242174861411}","{'mean_abs': 31.587711641081874, 'std_abs': 113.63785603970828}","{'mean_abs': 0.11747581196581194, 'std_abs': 0.07833876935600664}","{'mean_abs': 0.05110071428571429, 'std_abs': 0.045158382313707605}","{'mean_abs': 0.1024760994816587, 'std_abs': 0.09193429240897541}","{'mean_abs': 0.05362330461205461, 'std_abs': 0.03569643004120728}","{'mean_abs': 0.17431382372486476, 'std_abs': 0.1602986142198527}","{'mean_abs': 0.15495266088486676, 'std_abs': 0.12342072982471589}","{'mean_abs': 0.1742960084471772, 'std_abs': 0.1313273422298936}","{'mean_abs': 0.11786804924242429, 'std_abs': 0.11526297415815366}","{'mean_abs': 0.12989359217171717, 'std_abs': 0.10918005980996853}","{'mean_abs': 0.10626958964646463, 'std_abs': 0.1145426448428139}","{'mean_abs': 0.1447738532228006, 'std_abs': 0.10468926028231788}","{'mean_abs': 0.12530063644688644, 'std_abs': 0.09418732950162803}","{'mean_abs': 0.11797599116161614, 'std_abs': 0.09285479522560335}","{'mean_abs': 0.23927326591665993, 'std_abs': 0.1557142753970476}"
