,mean,std,baseline_mean,baseline_std
ACCURACY_example_based,0.131,0.109,0.183,0.122
AUCROC_MICRO,0.052,0.042,0.055,0.032
AUPRC_MICRO,0.148,0.124,0.203,0.128
F1_example_based,0.127,0.108,0.173,0.126
HAMMING_LOSS_example_based,0.055,0.052,0.063,0.044
MACRO_F1,0.179,0.16,0.216,0.125
MACRO_PRECISION,0.148,0.109,0.21,0.128
MACRO_RECALL,0.174,0.133,0.207,0.129
MICRO_F1,0.128,0.13,0.159,0.115
MICRO_PRECISION,0.148,0.113,0.162,0.111
MICRO_RECALL,0.121,0.102,0.157,0.119
PRECISION_example_based,0.128,0.116,0.175,0.125
RECALL_example_based,0.118,0.094,0.166,0.122
SUBSET_ACCURACY,0.186,0.146,0.24,0.136
