,mean,std,baseline_mean,baseline_std
ACCURACY_example_based,0.136,0.109,0.178,0.117
AUCROC_MICRO,0.048,0.036,0.055,0.031
AUPRC_MICRO,0.157,0.14,0.19,0.127
F1_example_based,0.106,0.102,0.17,0.117
HAMMING_LOSS_example_based,0.05,0.056,0.065,0.046
MACRO_F1,0.176,0.137,0.221,0.12
MACRO_PRECISION,0.181,0.152,0.213,0.121
MACRO_RECALL,0.161,0.155,0.218,0.122
MICRO_F1,0.104,0.114,0.156,0.108
MICRO_PRECISION,0.113,0.115,0.154,0.108
MICRO_RECALL,0.122,0.113,0.158,0.112
PRECISION_example_based,0.114,0.093,0.171,0.114
RECALL_example_based,0.108,0.074,0.161,0.118
SUBSET_ACCURACY,0.136,0.135,0.232,0.132
