% description
@RELATION metaDataset

@ATTRIBUTE index STRING
@ATTRIBUTE Attributes REAL
@ATTRIBUTE "Average examples per labelset" REAL
@ATTRIBUTE "Average gain ratio" REAL
@ATTRIBUTE Bound REAL
@ATTRIBUTE "CVIR inter class" REAL
@ATTRIBUTE Cardinality REAL
@ATTRIBUTE DefaultAccuracy REAL
@ATTRIBUTE Density REAL
@ATTRIBUTE "Distinct labelsets" REAL
@ATTRIBUTE Diversity REAL
@ATTRIBUTE Instances REAL
@ATTRIBUTE "Kurtosis cardinality" REAL
@ATTRIBUTE Labels REAL
@ATTRIBUTE LxIxF REAL
@ATTRIBUTE "Max IR inter class" REAL
@ATTRIBUTE "Max IR intra class" REAL
@ATTRIBUTE "Max IR per labelset" REAL
@ATTRIBUTE "Maximal entropy of labels" REAL
@ATTRIBUTE "Mean examples per labelset" REAL
@ATTRIBUTE "Mean of IR inter class" REAL
@ATTRIBUTE "Mean of IR intra class" REAL
@ATTRIBUTE "Mean of IR per labelset" REAL
@ATTRIBUTE "Mean of entropies of labels" REAL
@ATTRIBUTE "Mean of entropies of nominal attributes" REAL
@ATTRIBUTE "Mean of kurtosis" REAL
@ATTRIBUTE "Mean of mean of numeric attributes" REAL
@ATTRIBUTE "Mean of skewness of numeric attributes" REAL
@ATTRIBUTE "Mean of standard deviation of IR intra class" REAL
@ATTRIBUTE "Mean of standard deviation of numeric attributes" REAL
@ATTRIBUTE "Minimal entropy of labels" REAL
@ATTRIBUTE "Number of labelsets up to 10 examples" REAL
@ATTRIBUTE "Number of labelsets up to 2 examples" REAL
@ATTRIBUTE "Number of labelsets up to 5 examples" REAL
@ATTRIBUTE "Number of labelsets up to 50 examples" REAL
@ATTRIBUTE "Number of unconditionally dependent label pairs by chi-square test" REAL
@ATTRIBUTE "Proportion of distinct labelsets" REAL
@ATTRIBUTE "Proportion of maxim label combination (PMax)" REAL
@ATTRIBUTE "Proportion of numeric attributes" REAL
@ATTRIBUTE "Proportion of numeric attributes with outliers" REAL
@ATTRIBUTE "Proportion of unique label combination (PUniq)" REAL
@ATTRIBUTE "Ratio of number of instances to the number of attributes" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 10 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 2 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 5 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 50 examples" REAL
@ATTRIBUTE "Ratio of unconditionally dependent label pairs by chi-square test" REAL
@ATTRIBUTE SCUMBLE REAL
@ATTRIBUTE "Skewness cardinality" REAL
@ATTRIBUTE "Standard deviation of examples per labelset" REAL
@ATTRIBUTE "Standard deviation of label cardinality" REAL
@ATTRIBUTE RFPCT REAL
@ATTRIBUTE RFDTBR REAL
@ATTRIBUTE EBRJ48 REAL

@DATA
'medical',1449.00000,6.08696,0.00063,420.00000,1.03943,1.27143,0.15952,0.02825,69.00000,0.16429,420.00000,1.51954,45.00000,27386100.00000,113.00000,419.00000,67.00000,0.84009,6.08696,41.48591,129.36501,40.14702,0.14452,0.05414,0.00000,0.00000,0.00000,198.13333,0.00000,0.00000,59.00000,39.00000,52.00000,68.00000,24.00000,0.16429,0.15952,0.00000,0.00000,0.07857,0.28986,0.85507,0.56522,0.75362,0.98551,0.02424,0.04859,2.33914,11.23496,0.49111,0.00002,0.00006,0.00049
'birds',260.00000,3.91892,0.00705,290.00000,1.42819,0.96552,0.46552,0.05082,74.00000,0.25517,290.00000,0.65367,19.00000,1432600.00000,40.00000,289.00000,135.00000,0.57879,3.91892,6.05990,42.93427,95.11728,0.26892,0.99052,65.22385,21.19575,6.38509,130.26316,55.13407,0.03317,72.00000,58.00000,68.00000,73.00000,17.00000,0.25517,0.46552,0.99231,0.94961,0.13448,1.11538,0.97297,0.78378,0.91892,0.98649,0.09942,0.03409,0.79241,15.48736,1.13707,0.00002,0.00002,0.00041
'proteins_plant',1538.00000,12.52174,0.00148,288.00000,0.10125,1.07292,0.25347,0.08941,23.00000,0.07986,288.00000,-2.01123,12.00000,5315328.00000,1.32710,71.00000,73.00000,0.82210,12.52174,1.09231,23.73965,34.31061,0.38056,0.00000,11.83186,12.44380,1.31994,118.25000,6.61834,0.10559,17.00000,10.00000,12.00000,22.00000,5.00000,0.07986,0.25347,1.00000,0.89142,0.03125,0.18726,0.73913,0.43478,0.52174,0.95652,0.07576,0.00399,0.03246,18.50469,9.87511,0.00001,0.00002,0.00109
'emotions',72.00000,11.25000,0.05296,64.00000,0.19748,1.82963,0.12963,0.30494,24.00000,0.37500,270.00000,-0.92309,6.00000,116640.00000,1.73134,3.02985,35.00000,0.98566,11.25000,1.46311,2.40551,9.20901,0.87384,0.00000,3.72223,2.77419,1.05345,52.66667,0.98698,0.80833,15.00000,6.00000,11.00000,24.00000,12.00000,0.08889,0.12963,1.00000,0.41667,0.00741,3.75000,0.62500,0.25000,0.45833,1.00000,0.80000,0.01042,3.53387,10.71312,0.69561,0.00001,0.00001,0.00011
'enron',1001.00000,1.91892,0.00435,710.00000,1.30235,3.33662,0.09718,0.06296,370.00000,0.52113,710.00000,1.23887,53.00000,37667630.00000,361.00000,709.00000,69.00000,1.00000,1.91892,60.72370,118.43015,59.04396,0.23844,0.36429,0.00000,0.00000,0.00000,310.52830,0.00000,0.01537,365.00000,329.00000,354.00000,369.00000,110.00000,0.52113,0.09718,0.00000,0.00000,0.40423,0.70929,0.98649,0.88919,0.95676,0.99730,0.07983,0.29137,0.64481,4.52607,1.53591,0.00004,0.00011,0.00248
'foodtruck',28.00000,2.51724,0.00601,146.00000,0.72814,2.26712,0.33562,0.18893,58.00000,0.39726,146.00000,-1.90470,12.00000,49056.00000,4.70000,28.20000,49.00000,0.93945,2.51724,1.43051,10.07934,39.05766,0.53065,0.66863,1.73351,4.20205,-0.35734,52.58333,1.37850,0.21526,57.00000,48.00000,56.00000,58.00000,8.00000,0.39726,0.33562,0.60714,0.11765,0.27397,5.21429,0.98276,0.82759,0.96552,1.00000,0.12121,0.03164,0.04701,6.32521,7.63849,0.00001,0.00001,0.00010
'delicious',500.00000,1.01522,0.00084,6470.00000,0.77670,18.93601,0.00108,0.01926,6373.00000,0.98501,6470.00000,0.88409,983.00000,3180005000.00000,371.57143,923.28571,7.00000,0.97211,1.01522,72.56251,179.49959,6.96024,0.11036,0.20889,0.00000,0.00000,0.00000,3110.36521,0.00000,0.01222,6373.00000,6364.00000,6369.00000,6373.00000,42874.00000,0.98501,0.00108,0.00000,0.00000,0.97465,12.94000,1.00000,0.99859,0.99937,1.00000,0.08883,0.53086,0.00000,0.19387,5.08234,0.00931,0.01507,1.00000
'scene',294.00000,68.57143,0.03886,64.00000,0.10028,1.06667,0.17083,0.17778,14.00000,0.21875,960.00000,12.44618,6.00000,1693440.00000,1.35065,5.23377,164.00000,0.75403,68.57143,1.23036,4.67860,42.85340,0.67358,0.00000,8.33534,0.30605,1.69606,309.33333,0.18145,0.63531,7.00000,3.00000,4.00000,8.00000,14.00000,0.01458,0.17083,1.00000,0.56122,0.00313,3.26531,0.50000,0.21429,0.28571,0.57143,0.93333,0.00029,4.09710,70.81940,0.25372,0.00002,0.00001,0.00047
'HumanPseAAC',440.00000,18.96296,0.00088,1024.00000,1.12649,1.16113,0.24023,0.08294,54.00000,0.05273,1024.00000,6.34397,14.00000,6307840.00000,53.33333,169.66667,246.00000,0.89604,18.96296,14.07255,44.03217,126.91408,0.34198,0.00000,20.60741,0.22727,2.80481,427.07143,0.18795,0.05188,43.00000,27.00000,38.00000,47.00000,21.00000,0.05273,0.24023,1.00000,0.86818,0.02051,2.32727,0.79630,0.50000,0.70370,0.87037,0.23077,0.02012,2.53191,44.41595,0.39845,0.00002,0.00004,0.00118
'ABPM',33.00000,5.06250,0.04054,64.00000,1.60635,3.98765,0.28395,0.66461,16.00000,0.25000,81.00000,-0.56951,6.00000,16038.00000,16.20000,15.20000,23.00000,0.91830,5.06250,3.78744,4.69644,9.40858,0.59900,0.59826,2.88893,69.97670,0.00361,25.17262,20.10411,0.00000,14.00000,9.00000,10.00000,16.00000,0.00000,0.19753,0.28395,0.93939,0.41935,0.02469,2.45455,0.87500,0.56250,0.62500,1.00000,0.00000,0.04309,0.00000,5.45972,0.90130,0.00001,0.00001,0.00007
