index,Attributes,Average absolute correlation between numeric attributes,Average examples per labelset,Average gain ratio,Bound,CVIR inter class,Cardinality,DefaultAccuracy,Density,Distinct labelsets,Diversity,Instances,Kurtosis cardinality,Labels,LxIxF,Max IR inter class,Max IR intra class,Max IR per labelset,Maximal entropy of labels,Mean examples per labelset,Mean of IR inter class,Mean of IR intra class,Mean of IR per labelset,Mean of entropies of labels,Mean of entropies of nominal attributes,Mean of kurtosis,Mean of mean of numeric attributes,Mean of skewness of numeric attributes,Mean of standard deviation of IR intra class,Mean of standard deviation of numeric attributes,Minimal entropy of labels,Number of binary attributes,Number of labelsets up to 10 examples,Number of labelsets up to 2 examples,Number of labelsets up to 5 examples,Number of labelsets up to 50 examples,Number of nominal attributes,Number of numeric attributes,Number of unconditionally dependent label pairs by chi-square test,Number of unique labelsets,Proportion of binary attributes,Proportion of distinct labelsets,Proportion of maxim label combination (PMax),Proportion of nominal attributes,Proportion of numeric attributes,Proportion of numeric attributes with outliers,Proportion of unique label combination (PUniq),Ratio of number of instances to the number of attributes,Ratio of number of labelsets up to 10 examples,Ratio of number of labelsets up to 2 examples,Ratio of number of labelsets up to 5 examples,Ratio of number of labelsets up to 50 examples,Ratio of unconditionally dependent label pairs by chi-square test,RatioTestToPower,RatioTotalToPower,RatioTrainToPower,RatioUnseenToTest,SCUMBLE,Skewness cardinality,Standard deviation of examples per labelset,Standard deviation of label cardinality,TotalDistinctClasses,UnseenInTrain,EPS,CDE,LP,BR,HOMER,Ada300,RAkEL2,CC,CLR,PSt,TREMLC,RFDTBR,TREMLCnew,MBR,CDN,ECCJ48,EBRJ48,SSM,RSMLCC
corel5k,499.0,,1.3560454241816968,0.00023116919310155605,2030.0,1.0747829822689605,3.515270935960591,0.013793103448275862,0.009399120149627248,1497.0,0.7374384236453202,2030.0,0.6844066726652582,374.0,378850780.0,450.0,2029.0,28.0,0.7632140080875527,1.3560454241816968,125.08895290868558,527.1432028616824,25.250471782573626,0.060889881048989625,0.11786360746079434,0.0,0.0,0.0,995.9197860962566,0.0,0.0,499.0,1490.0,1408.0,1476.0,1497.0,499.0,0.0,1286.0,1247.0,1.0,0.7374384236453202,0.013793103448275862,1.0,0.0,0.0,0.6142857142857143,4.0681362725450905,0.9953239812959251,0.9405477621910487,0.9859719438877755,1.0,0.01843701165574687,1497.0,1497.0,1497.0,0.0,0.3880046501331008,0.0,1.439315271059951,0.6744753545797976,1497.0,0.0,0.764,0.556,0.0,0.799,0.436,0.865,0.547,0.549,0.862,0.768,0.606,0.835,0.604,0.821,0.75,0.651,0.867,0.527,0.811
yeast,103.0,,7.496124031007752,0.004569745503740712,967.0,2.3459403935792307,4.2078593588417785,0.09720785935884178,0.30056138277441274,129.0,0.13340227507755947,967.0,0.2797662021467137,14.0,1394414.0,90.625,119.875,94.0,0.9882974917297171,7.496124031007752,9.969240114240431,12.667003684585165,49.37065725921605,0.707166920136873,0.0,1.311860824491341,0.00031786404754972333,0.3152148632323533,260.714953080182,0.09844754318399764,0.0691134054205982,0.0,107.0,70.0,97.0,125.0,0.0,103.0,53.0,46.0,0.0,0.13340227507755947,0.09720785935884178,0.0,1.0,0.2912621359223301,0.047569803516028956,9.388349514563107,0.8294573643410853,0.5426356589147286,0.751937984496124,0.9689922480620154,0.5824175824175825,129.0,129.0,129.0,0.0,0.10191371979752298,0.7826212083211682,14.915848722630527,1.5720186113278316,129.0,0.0,0.837,0.822,0.722,0.796,0.766,0.804,0.791,0.707,0.797,0.843,0.852,0.852,0.849,0.735,0.591,0.818,0.827,0.681,0.841
HumanGO,9844.0,,18.962962962962962,0.00019196629532264355,1024.0,1.126486000407428,1.1611328125,0.240234375,0.08293805803571429,54.0,0.052734375,1024.0,6.343970673390699,14.0,141123584.0,53.333333333333336,169.66666666666666,246.0,0.8960382325345579,18.962962962962962,14.072553772176091,44.03217207096348,126.91408350788744,0.34198273270809404,0.0,0.0,0.002396070099806989,0.0,427.07142857142856,0.02864556033176652,0.05187596258849107,0.0,43.0,27.0,38.0,47.0,0.0,9844.0,21.0,21.0,0.0,0.052734375,0.240234375,0.0,1.0,0.5839089800893945,0.0205078125,0.10402275497765136,0.7962962962962963,0.5,0.7037037037037037,0.8703703703703703,0.23076923076923078,54.0,54.0,54.0,0.0,0.020120609808806273,2.5319075067162764,44.415947654369205,0.3984489551139246,54.0,0.0,0.955,0.942,0.856,0.975,0.835,0.965,0.914,0.865,0.974,0.98,0.977,0.978,0.98,0.974,0.942,0.97,0.979,0.856,0.97
GpositivePseAAC,440.0,,28.5,0.006393202992070602,16.0,1.1683883075976853,1.0116959064327486,0.36257309941520466,0.25292397660818716,6.0,0.375,171.0,82.95245264521527,4.0,300960.0,8.0,20.375,62.0,0.9538936403541864,28.5,2.912295081967213,6.781288422131147,22.7438799815849,0.7377944158207849,0.0,10.224516661556452,0.22726963051568336,2.35091081579183,42.25381868338716,0.1956829133201688,0.2725736310282036,0.0,3.0,2.0,2.0,4.0,0.0,440.0,3.0,2.0,0.0,0.03508771929824561,0.36257309941520466,0.0,1.0,0.6295454545454545,0.011695906432748537,0.3886363636363636,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,6.0,6.0,6.0,0.0,0.002330129404235387,9.495402771186223,26.656768996510685,0.10782906372191194,6.0,0.0,0.829,0.785,0.801,0.852,0.735,0.854,0.812,0.797,0.827,0.884,0.846,0.855,0.622,0.843,0.511,0.823,0.834,0.651,0.806
cal500,68.0,,1.15,0.0027329636011703923,230.0,1.3384909907777056,26.221739130434784,0.008695652173913044,0.15069965017491255,200.0,0.8695652173913043,230.0,1.1299454857564026,174.0,2721360.0,200.0,229.0,2.0,0.9997818120566604,1.15,21.957140470250852,24.046251653021187,1.85,0.4766573034275085,0.0,3.831091102720967,-0.5185213512148341,1.0119806828913904,83.29310344827586,0.30967816160607686,0.0,0.0,200.0,200.0,200.0,200.0,0.0,68.0,2049.0,170.0,0.0,0.8695652173913043,0.008695652173913044,0.0,1.0,0.3235294117647059,0.7391304347826086,3.3823529411764706,1.0,1.0,1.0,1.0,0.1361371337452661,200.0,200.0,200.0,0.0,0.32983789492257237,0.07220845470597155,0.35707142142714315,6.072233067782109,200.0,0.0,0.774,0.763,0.612,0.642,0.639,0.813,0.596,0.616,0.742,0.805,0.809,0.81,0.735,0.735,0.702,0.767,0.778,0.625,0.805
stackex_cs,635.0,,1.6153846153846154,0.00011993649198225162,3717.0,1.1865725707163317,2.558245897228948,0.014527845036319613,0.00933666385849981,2301.0,0.6190476190476191,3717.0,-0.4939366274885036,274.0,646720830.0,892.0,3716.0,54.0,0.7950044859999306,1.6153846153846154,96.09166602440196,397.96012108141963,47.063255709938964,0.06398593508680628,0.0,260.9693906179783,0.0507389966084748,12.61718125026038,1823.7956891449603,0.3260671632790732,0.0,0.0,2274.0,2080.0,2227.0,2300.0,0.0,635.0,1234.0,1830.0,0.0,0.6190476190476191,0.014527845036319613,0.0,1.0,1.0,0.4923325262308313,5.853543307086614,0.9882659713168188,0.903954802259887,0.9678400695349848,0.9995654063450674,0.03299377022004759,2301.0,2301.0,2301.0,0.0,0.2713428467949934,1.7009174314062598,2.411458178208316,1.0772927540584123,2301.0,0.0,0.807,0.716,0.0,0.868,0.327,0.876,0.564,0.572,0.875,0.88,0.763,0.888,0.734,0.859,0.803,0.777,0.905,0.619,0.858
ohsumed,1002.0,,7.943181818181818,0.0,5592.0,1.0768108198767654,1.6639842632331903,0.08011444921316166,0.07234714187970392,704.0,0.12589413447782546,5592.0,1.7700870543799465,23.0,128873232.0,41.26315789473684,146.1578947368421,448.0,0.8559960443471685,7.943181818181818,8.489801829863124,29.277405505481248,306.4917483805503,0.3362689427451514,0.0,36.3736496424626,0.03963603551123783,5.831644970213637,2391.4347826086955,0.17930252495632915,0.05870567247616541,0.0,632.0,487.0,584.0,684.0,0.0,1002.0,92.0,401.0,0.0,0.12589413447782546,0.08011444921316166,0.0,1.0,0.8772455089820359,0.07170958512160229,5.580838323353293,0.8977272727272727,0.6917613636363636,0.8295454545454546,0.9715909090909091,0.36363636363636365,704.0,704.0,704.0,0.0,0.06816383290837773,1.1366659354574,32.66430772214429,0.8392135929490515,704.0,0.0,0.863,0.839,0.706,0.893,0.696,0.841,0.729,0.692,0.888,0.895,0.886,0.89,0.877,0.885,0.777,0.843,0.882,0.695,0.81
Virus_PseAAC,440.0,,7.555555555555555,0.005317633996086018,64.0,0.8205277782067153,1.1029411764705883,0.29411764705882354,0.18382352941176472,9.0,0.140625,68.0,5.297587658243396,6.0,179520.0,8.0,21.666666666666668,20.0,0.9366673818775632,7.555555555555555,3.5310559006211175,9.004658385093169,6.339181286549707,0.6091992211967092,0.0,7.384430773099108,0.22725762032085545,2.199722729426607,21.5,0.21612403721761816,0.26086290964720815,0.0,6.0,2.0,6.0,9.0,0.0,440.0,2.0,1.0,0.0,0.1323529411764706,0.29411764705882354,0.0,1.0,0.3409090909090909,0.014705882352941176,0.15454545454545454,0.6666666666666666,0.2222222222222222,0.6666666666666666,1.0,0.13333333333333333,9.0,9.0,9.0,0.0,0.002252882654942396,3.7765955215573523,7.04132423011327,0.30614141120130506,9.0,0.0,0.759,0.742,0.693,0.774,0.643,0.8,0.742,0.655,0.771,0.82,0.761,0.806,0.797,0.767,0.594,0.759,0.773,0.62,0.767
ng20,1006.0,,176.13636363636363,0.0,7750.0,0.041925436823135875,1.0291612903225806,0.053548387096774196,0.05145806451612903,44.0,0.00567741935483871,7750.0,106.1396619669461,20.0,155930000.0,1.1420911528150135,19.777479892761395,415.0,0.307135996680459,176.13636363636363,1.0699958885786172,18.4658876443293,147.86131991026085,0.2924930306594541,0.0,57.33387160907999,0.03204809850573974,6.604217496391573,3476.2,0.1640651961839498,0.2783954217153538,0.0,19.0,16.0,19.0,22.0,0.0,1006.0,187.0,13.0,0.0,0.00567741935483871,0.053548387096774196,0.0,1.0,0.9403578528827038,0.0016774193548387097,7.703777335984095,0.4318181818181818,0.36363636363636365,0.4318181818181818,0.5,0.9842105263157894,44.0,44.0,44.0,0.0,4.39849233562839e-06,4.842007510774097,184.8777963595868,0.17650393471848458,44.0,0.0,0.932,0.899,0.815,0.951,0.334,0.928,0.857,0.789,0.949,0.951,0.927,0.947,0.924,0.922,0.789,0.886,0.927,0.756,0.964
Arabic200,200.0,0.0018129423324589325,24.455307262569832,0.0018899393165951648,8755.0,0.6487969430113374,1.2535693889206168,0.1629925756710451,0.03133923472301542,358.0,0.04089091947458595,8755.0,3.723940932081509,40.0,70040000.0,22.815384615384616,133.69230769230768,1427.0,0.656304976999987,24.455307262569832,9.860237493903238,57.21064009381176,813.6155814771538,0.1821422325126045,0.0,145.65354393891457,0.03492166919417477,9.769331366070094,4103.1250306741695,0.21638303316675547,0.06318734909645694,0.0,279.0,208.0,260.0,313.0,0.0,200.0,229.0,161.0,0.0,0.04089091947458595,0.1629925756710451,0.0,1.0,0.92,0.018389491719017704,43.775,0.7793296089385475,0.5810055865921788,0.7262569832402235,0.8743016759776536,0.2935897435897436,358.0,358.0,358.0,0.0,0.025553611082524946,2.025835098900369,95.72304651359636,0.5000657892057359,358.0,0.0,0.929,0.871,0.819,0.962,0.236,0.956,0.796,0.772,0.977,0.981,0.929,0.97,0.918,0.961,0.91,0.931,0.975,0.781,0.958
genbase,1185.0,,12.166666666666666,0.0005931921302083198,292.0,0.06064285134370547,1.2568493150684932,0.2226027397260274,0.04654997463216642,24.0,0.0821917808219178,292.0,-2.0106936803736453,27.0,9342540.0,1.2863436123348018,291.0,65.0,0.7648916326406766,12.166666666666666,1.0521699189945177,43.68522223747214,22.383185471727135,0.23259538784011743,0.0110413102044447,0.0,0.0,0.0,132.40740740740742,0.0,0.0,1185.0,15.0,7.0,11.0,23.0,1185.0,0.0,34.0,5.0,1.0,0.0821917808219178,0.2226027397260274,1.0,0.0,0.0,0.017123287671232876,0.24641350210970464,0.625,0.2916666666666667,0.4583333333333333,0.9583333333333334,0.09686609686609686,24.0,24.0,24.0,0.0,0.0014835554714692873,0.008285370752041502,15.048994060143096,24.538964814024954,24.0,0.0,0.983,0.989,0.986,0.988,0.51,0.978,0.989,0.989,0.978,0.981,0.988,0.988,0.988,0.988,0.93,0.989,0.98,0.971,0.988
stackex_chess,585.0,,1.3373253493013972,0.00017510856261260873,670.0,0.831451275787491,2.3940298507462687,0.025373134328358207,0.010546387007692814,501.0,0.7477611940298508,670.0,-0.43829453031028953,227.0,88972650.0,159.0,669.0,17.0,0.790543994823736,1.3373253493013972,67.13866594677917,248.38005255502188,15.668050315729959,0.06904200306292672,0.0,110.54689433910653,0.042584513330782045,9.35622435100202,327.93392070484583,0.24290725445726222,0.0,0.0,497.0,478.0,491.0,501.0,0.0,585.0,465.0,436.0,0.0,0.7477611940298508,0.025373134328358207,0.0,1.0,1.0,0.6507462686567164,1.1452991452991452,0.9920159680638723,0.9540918163672655,0.9800399201596807,1.0,0.018127948228139255,501.0,501.0,501.0,0.0,0.2414541776964308,0.927134375976824,1.4668608218215375,1.2090689443171085,501.0,0.0,0.701,0.654,0.575,0.797,0.345,0.851,0.569,0.587,0.849,0.797,0.609,0.852,0.0,0.785,0.77,0.711,0.862,0.582,0.823
GpositiveGO,912.0,,28.5,0.002539249140065021,16.0,1.1683883075976853,1.0116959064327486,0.36257309941520466,0.25292397660818716,6.0,0.375,171.0,82.95245264521527,4.0,623808.0,8.0,20.375,62.0,0.9538936403541864,28.5,2.912295081967213,6.781288422131147,22.7438799815849,0.7377944158207849,0.0,0.0,0.00957987072945527,0.0,42.25381868338716,0.05579173580004769,0.2725736310282036,0.0,3.0,2.0,2.0,4.0,0.0,912.0,3.0,2.0,0.0,0.03508771929824561,0.36257309941520466,0.0,1.0,0.49451754385964913,0.011695906432748537,0.1875,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,6.0,6.0,6.0,0.0,0.002330129404235387,9.495402771186223,26.656768996510685,0.10782906372191194,6.0,0.0,0.983,0.977,0.956,0.974,0.953,0.989,0.96,0.952,0.966,0.989,0.986,0.991,0.751,0.979,0.96,0.978,0.989,0.968,0.985
PlantGO,3091.0,,14.636363636363637,0.0005670425497802386,322.0,0.8963693565133772,1.065217391304348,0.2701863354037267,0.08876811594202899,22.0,0.06832298136645963,322.0,10.58533206969448,12.0,11943624.0,22.75,79.5,87.0,0.8589810370425982,14.636363636363637,6.990633139734723,23.736086494445946,31.93188147636677,0.38019466705458527,0.0,0.0,0.006398058076845173,0.0,132.41666666666666,0.048987487794125914,0.09645482910708628,0.0,14.0,8.0,10.0,21.0,0.0,3091.0,7.0,5.0,0.0,0.06832298136645963,0.2701863354037267,0.0,1.0,0.5593659010029117,0.015527950310559006,0.10417340666450987,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.9545454545454546,0.10606060606060606,22.0,22.0,22.0,0.0,0.005033404626672127,4.3635742517719045,21.11773372514083,0.24729335300010263,22.0,0.0,0.951,0.914,0.87,0.937,0.873,0.959,0.931,0.863,0.962,0.972,0.967,0.961,0.965,0.927,0.928,0.952,0.979,0.862,0.963
GnegativeGO,1717.0,,30.6,0.0008187758682988951,256.0,1.3242091007375567,1.056644880174292,0.3681917211328976,0.1320806100217865,15.0,0.05859375,459.0,12.866668772650186,8.0,6304824.0,59.666666666666664,152.0,169.0,0.9647854874772229,30.6,17.20730120665831,43.12375002154282,63.70004824151883,0.45076586569958477,0.0,0.0,0.00435349186591088,0.0,168.87595244335967,0.03397637697669597,0.05683240450033059,0.0,10.0,5.0,8.0,12.0,0.0,1717.0,10.0,4.0,0.0,0.032679738562091505,0.3681917211328976,0.0,1.0,0.47233546884100175,0.008714596949891068,0.26732673267326734,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.8,0.35714285714285715,15.0,15.0,15.0,0.0,0.011670013770218722,4.6090782698375845,48.70701523736939,0.2314150183814,15.0,0.0,0.984,0.978,0.965,0.988,0.259,0.99,0.979,0.967,0.988,0.994,0.986,0.995,0.988,0.993,0.986,0.983,0.994,0.967,0.989
