index,Attributes,Average absolute correlation between numeric attributes,Average examples per labelset,Average gain ratio,Bound,CVIR inter class,Cardinality,DefaultAccuracy,Density,Distinct labelsets,Diversity,Instances,Kurtosis cardinality,Labels,LxIxF,Max IR inter class,Max IR intra class,Max IR per labelset,Maximal entropy of labels,Mean examples per labelset,Mean of IR inter class,Mean of IR intra class,Mean of IR per labelset,Mean of entropies of labels,Mean of entropies of nominal attributes,Mean of kurtosis,Mean of mean of numeric attributes,Mean of skewness of numeric attributes,Mean of standard deviation of IR intra class,Mean of standard deviation of numeric attributes,Minimal entropy of labels,Number of binary attributes,Number of labelsets up to 10 examples,Number of labelsets up to 2 examples,Number of labelsets up to 5 examples,Number of labelsets up to 50 examples,Number of nominal attributes,Number of numeric attributes,Number of unconditionally dependent label pairs by chi-square test,Number of unique labelsets,Proportion of binary attributes,Proportion of distinct labelsets,Proportion of maxim label combination (PMax),Proportion of nominal attributes,Proportion of numeric attributes,Proportion of numeric attributes with outliers,Proportion of unique label combination (PUniq),Ratio of number of instances to the number of attributes,Ratio of number of labelsets up to 10 examples,Ratio of number of labelsets up to 2 examples,Ratio of number of labelsets up to 5 examples,Ratio of number of labelsets up to 50 examples,Ratio of unconditionally dependent label pairs by chi-square test,RatioTestToPower,RatioTotalToPower,RatioTrainToPower,RatioUnseenToTest,SCUMBLE,Skewness cardinality,Standard deviation of examples per labelset,Standard deviation of label cardinality,TotalDistinctClasses,UnseenInTrain,EPS,CDE,LP,BR,HOMER,Ada300,RAkEL2,CC,CLR,PSt,TREMLC,RFDTBR,TREMLCnew,MBR,CDN,ECCJ48,EBRJ48,SSM,RSMLCC
medical,1449.0,,6.086956521739131,0.0006321664685299629,420.0,1.0394309401200046,1.2714285714285714,0.1595238095238095,0.028253968253968254,69.0,0.16428571428571428,420.0,1.5195425436772203,45.0,27386100.0,113.0,419.0,67.0,0.8400947074719298,6.086956521739131,41.4859077497181,129.3650123275321,40.147024184778395,0.1445190683114948,0.05413505100048885,0.0,0.0,0.0,198.13333333333333,0.0,0.0,1449.0,59.0,39.0,52.0,68.0,1449.0,0.0,24.0,33.0,1.0,0.16428571428571428,0.1595238095238095,1.0,0.0,0.0,0.07857142857142857,0.2898550724637681,0.855072463768116,0.5652173913043478,0.7536231884057971,0.9855072463768116,0.024242424242424242,69.0,69.0,69.0,0.0,0.0485859909342563,2.33914435715537,11.234959840662455,0.49110742049549166,69.0,0.0,0.94,0.901,0.843,0.897,0.416,0.951,0.935,0.871,0.959,0.949,0.898,0.974,0.936,0.863,0.882,0.928,0.953,0.858,0.965
birds,260.0,0.12337542925384891,3.918918918918919,0.00704546422330818,290.0,1.42819172861845,0.9655172413793104,0.46551724137931033,0.050816696914700546,74.0,0.25517241379310346,290.0,0.6536650502933743,19.0,1432600.0,40.0,289.0,135.0,0.5787946246321198,3.918918918918919,6.059898993335526,42.93426770168256,95.11727799227798,0.26892035357572686,0.9905217643092189,65.22385279840712,21.19575468350709,6.385091999381218,130.26315789473685,55.134073104380484,0.03317280641942918,1.0,72.0,58.0,68.0,73.0,2.0,258.0,17.0,39.0,0.0038461538461538464,0.25517241379310346,0.46551724137931033,0.007692307692307693,0.9923076923076923,0.9496124031007752,0.13448275862068965,1.1153846153846154,0.972972972972973,0.7837837837837838,0.918918918918919,0.9864864864864865,0.09941520467836257,74.0,74.0,74.0,0.0,0.03409329493878266,0.7924126681371956,15.487359062253182,1.1370683673465052,74.0,0.0,0.852,0.804,0.686,0.813,0.642,0.865,0.821,0.668,0.805,0.85,0.894,0.905,0.887,0.809,0.753,0.854,0.878,0.677,0.882
proteins_plant,1538.0,0.011375469231887172,12.521739130434783,0.0014809465091251335,288.0,0.10125410285069734,1.0729166666666667,0.2534722222222222,0.08940972222222222,23.0,0.0798611111111111,288.0,-2.011232671816835,12.0,5315328.0,1.3271028037383177,71.0,73.0,0.8221004037117997,12.521739130434783,1.0923067958151158,23.73964634245964,34.310606301910646,0.38055501718219725,0.0,11.831855461293403,12.443800113954195,1.319941413037341,118.25,6.618341888118196,0.10559103637519426,0.0,17.0,10.0,12.0,22.0,0.0,1538.0,5.0,9.0,0.0,0.0798611111111111,0.2534722222222222,0.0,1.0,0.8914174252275683,0.03125,0.18725617685305593,0.7391304347826086,0.43478260869565216,0.5217391304347826,0.9565217391304348,0.07575757575757576,23.0,23.0,23.0,0.0,0.0039945788651633285,0.032460801116572575,18.504686986103987,9.875107506140893,23.0,0.0,0.962,0.964,0.669,0.856,0.713,0.97,0.5,0.709,0.863,0.863,0.98,0.868,0.98,0.851,0.949,0.956,0.958,0.927,0.983
emotions,72.0,,11.25,0.05295845984337268,64.0,0.1974772313802537,1.8296296296296297,0.12962962962962962,0.3049382716049383,24.0,0.375,270.0,-0.9230921599998317,6.0,116640.0,1.7313432835820894,3.029850746268657,35.0,0.9856640314885611,11.25,1.4631099877835412,2.4055146267375527,9.209007745726497,0.8738421865958658,0.0,3.722226504914296,2.7741946389403305,1.0534496882884967,52.666666666666664,0.9869754680072845,0.8083297935350483,0.0,15.0,6.0,11.0,24.0,0.0,72.0,12.0,2.0,0.0,0.08888888888888889,0.12962962962962962,0.0,1.0,0.4166666666666667,0.007407407407407408,3.75,0.625,0.25,0.4583333333333333,1.0,0.8,24.0,24.0,24.0,0.0,0.010421902217928413,3.533872473308071,10.71311501540674,0.6956128130906732,24.0,0.0,0.842,0.855,0.758,0.864,0.709,0.846,0.813,0.779,0.848,0.852,0.876,0.879,0.883,0.842,0.679,0.845,0.845,0.712,0.838
enron,1001.0,,1.9189189189189189,0.004350679890397152,710.0,1.3023531735708467,3.3366197183098594,0.09718309859154929,0.06295508902471433,370.0,0.5211267605633803,710.0,1.238874242461487,53.0,37667630.0,361.0,709.0,69.0,1.000000000000001,1.9189189189189189,60.723696169734275,118.43015206577905,59.043963108963105,0.2384391285695316,0.3642916936442704,0.0,0.0,0.0,310.52830188679246,0.0,0.015370920838781311,1001.0,365.0,329.0,354.0,369.0,1001.0,0.0,110.0,287.0,1.0,0.5211267605633803,0.09718309859154929,1.0,0.0,0.0,0.4042253521126761,0.7092907092907093,0.9864864864864865,0.8891891891891892,0.9567567567567568,0.9972972972972973,0.07982583454281568,370.0,370.0,370.0,0.0,0.29137135549475507,0.6448092896997157,4.526070895399501,1.5359113966992157,370.0,0.0,0.881,0.831,0.722,0.89,0.695,0.897,0.801,0.768,0.899,0.89,0.899,0.914,0.867,0.89,0.823,0.871,0.91,0.727,0.833
foodtruck,28.0,0.21831042318784175,2.5172413793103448,0.006011449620087297,146.0,0.7281356898482272,2.267123287671233,0.3356164383561644,0.1889269406392694,58.0,0.3972602739726027,146.0,-1.9046997487741055,12.0,49056.0,4.7,28.2,49.0,0.9394532068181356,2.5172413793103448,1.4305063259960527,10.079341330971767,39.05766283524904,0.530647552913586,0.6686308548433906,1.7335149412932864,4.202054794520548,-0.35733634440712025,52.583333333333336,1.3784966922114508,0.21526030434120383,11.0,57.0,48.0,56.0,58.0,11.0,17.0,8.0,40.0,0.39285714285714285,0.3972602739726027,0.3356164383561644,0.39285714285714285,0.6071428571428571,0.11764705882352941,0.273972602739726,5.214285714285714,0.9827586206896551,0.8275862068965517,0.9655172413793104,1.0,0.12121212121212122,58.0,58.0,58.0,0.0,0.031643329701035304,0.04700678496269255,6.3252133105923525,7.638493002056477,58.0,0.0,0.798,0.795,0.645,0.792,0.664,0.765,0.717,0.681,0.737,0.809,0.81,0.814,0.822,0.591,0.745,0.773,0.786,0.68,0.665
delicious,500.0,,1.0152204613211988,0.0008445722858561168,6470.0,0.7766969478661999,18.936012364760433,0.0010819165378670788,0.019263491724069617,6373.0,0.9850077279752705,6470.0,0.8840875602806864,983.0,3180005000.0,371.57142857142856,923.2857142857143,7.0,0.9721138166715974,1.0152204613211988,72.56250790664807,179.4995871418727,6.960241121397564,0.11036270269690836,0.2088880100388827,0.0,0.0,0.0,3110.3652085452695,0.0,0.012219283736328489,500.0,6373.0,6364.0,6369.0,6373.0,500.0,0.0,42874.0,6306.0,1.0,0.9850077279752705,0.0010819165378670788,1.0,0.0,0.0,0.9746522411128284,12.94,1.0,0.9985877922485485,0.999372352110466,1.0,0.08882986327651543,6373.0,6373.0,6373.0,0.0,0.5308630757848504,0.0,0.1938662500323282,5.082341148253178,6373.0,0.0,0.677,0.634,0.0,0.86,0.344,0.854,0.527,0.557,0.0,0.557,0.627,0.857,0.663,0.0,0.765,0.733,0.877,0.548,0.833
scene,294.0,,68.57142857142857,0.03886481965566458,64.0,0.10028251644489335,1.0666666666666667,0.17083333333333334,0.17777777777777778,14.0,0.21875,960.0,12.446181060580303,6.0,1693440.0,1.3506493506493507,5.233766233766234,164.0,0.754034056197132,68.57142857142857,1.230363435759838,4.678600472737715,42.85339709234194,0.6735753080464737,0.0,8.3353410210055,0.30604994430980703,1.696055128569748,309.3333333333333,0.18144745438463633,0.63530542242044,0.0,7.0,3.0,4.0,8.0,0.0,294.0,14.0,3.0,0.0,0.014583333333333334,0.17083333333333334,0.0,1.0,0.5612244897959183,0.003125,3.2653061224489797,0.5,0.21428571428571427,0.2857142857142857,0.5714285714285714,0.9333333333333333,14.0,14.0,14.0,0.0,0.0002909529069770609,4.097102302893197,70.81940239159069,0.2537175799151736,14.0,0.0,0.915,0.922,0.87,0.88,0.827,0.95,0.91,0.852,0.948,0.958,0.948,0.952,0.955,0.877,0.63,0.928,0.93,0.74,0.915
HumanPseAAC,440.0,,18.962962962962962,0.0008763900758157526,1024.0,1.126486000407428,1.1611328125,0.240234375,0.08293805803571429,54.0,0.052734375,1024.0,6.343970673390699,14.0,6307840.0,53.333333333333336,169.66666666666666,246.0,0.8960382325345579,18.962962962962962,14.072553772176091,44.03217207096348,126.91408350788744,0.34198273270809404,0.0,20.60740746683585,0.22727406782670462,2.804805368371175,427.07142857142856,0.18795159500833,0.05187596258849107,0.0,43.0,27.0,38.0,47.0,0.0,440.0,21.0,21.0,0.0,0.052734375,0.240234375,0.0,1.0,0.8681818181818182,0.0205078125,2.327272727272727,0.7962962962962963,0.5,0.7037037037037037,0.8703703703703703,0.23076923076923078,54.0,54.0,54.0,0.0,0.020120609808806273,2.5319075067162764,44.415947654369205,0.3984489551139246,54.0,0.0,0.831,0.796,0.666,0.817,0.629,0.835,0.642,0.639,0.805,0.848,0.842,0.836,0.837,0.801,0.599,0.788,0.811,0.589,0.83
ABPM,33.0,0.2691815385938097,5.0625,0.040539981582957574,64.0,1.606350865456717,3.9876543209876543,0.2839506172839506,0.6646090534979424,16.0,0.25,81.0,-0.5695114607170532,6.0,16038.0,16.2,15.2,23.0,0.9182958340544894,5.0625,3.7874373433583965,4.696439393939394,9.408583603896105,0.5990032135831956,0.5982633181002797,2.8889305468379876,69.97670249183595,0.0036141861720639574,25.172622793795146,20.10410862353005,0.0,2.0,14.0,9.0,10.0,16.0,2.0,31.0,0.0,2.0,0.06060606060606061,0.19753086419753085,0.2839506172839506,0.06060606060606061,0.9393939393939394,0.41935483870967744,0.024691358024691357,2.4545454545454546,0.875,0.5625,0.625,1.0,0.0,16.0,16.0,16.0,0.0,0.04309055845020468,0.0,5.459724695440238,0.9013022129188112,16.0,0.0,0.948,0.969,0.829,0.925,0.895,0.983,0.899,0.854,0.905,0.931,0.975,0.969,0.976,0.874,0.956,0.967,0.976,0.931,0.967
